comment,label
িক  মন খারাপ,2
সেক্স সি,1
আল্লাহ্ আপনাকে জান্নাত দান করুক,0
. . . . . . . . . হু অবশ্যয় অন্যায়,2
আল্লাহ আপনকে মুসলিম হিসেবে কবূল করুন,0
ভালো কিছু গান  উপহার দাও কারণ তুমি আমার প্রিয় শিল্পী,0
"আমরা দৃঢ়তার সাথে ঘোষনা করছি, দেশের জনগণকে সাথে নিয়ে স্বপ্নের সোনার বাংলা গঠনের মাধ্যমে কাঙ্খিত দেশ গড়ে তুলবই ইনশাআল্লাহ।"",",4
হেব্বি আপু,0
ইসলামকে বলা হয় ফিতরাত বা মানুষের জন্য প্রকৃতি সম্মত ধর্ম। ইসলাম শুধু নারীকেই নয় বরং প্রত্যেককেই তার ন্যায্য হিসসাটুকু দিতে বদ্বপরিকর।,0
বেঈমান,2
"পুরুষদের দৃষ্টি আকর্ষণ করছি। যারা অনেক বেশি পরিমান হস্তমৈথুনসহ অনেক খারাপ কাজ করছেন বা অনেক বেশি পরিমান মেয়েদের সাথে সহবাস করেছেন যার ফলে মেলামেশার সময অতি দ্রত বীর্যপাত হয়ে গেলে লিঙ্গ আর খাড়াই না, আবার যদিও বা খাড়াই তখন ভাল শক্ত হয় না।অনেক চিকিৎসা করেছেন কিন্তু কাজ হয়নি, তারা যদি জোকের তেল,সান্ডার ও শিষুর তেল ব্যবহার করেন এবং কিছু বনাজী ওষুধ খেলে এক সাথে ২-৩ বার করলে ও লিঙ্গ খাড়াই থাকবে এবং শক্ত ও লিঙ্গ লম্বা হবে । এই পরামর্শ ফল পেলে আমার জন্য দুয়া করবেন। আর যারা আমার কাছ থেকে তেল আর ওষ",1
এটা কোন অভিনেত্রী হল ??? দুধ দেখে সবাই পাগল । ছিঃ ছিঃ,1
পরিবেশ বান্ধব ছবি!,0
অন্যদিকে বীরশ্রেষ্ঠ মুক্তিযোদ্ধার পরিবারসহ বহু মুক্তিযোদ্ধা ও তাদের পরিবার আজো মানবেতর জীবন যাপন করছে।,4
নায়লারে একরাত দরকার,1
পশ্চিমারা কেবল মুসলিম নামধারী নাস্তিক ও ইসলাম বিদ্বেষীদের পৃষ্ঠপোষকতা করে,3
"আপু তোমার ছবি আমার ভাল লাগে ।আবার তোমার দুধ দেখা যায়,এখন তোমার মাং দেখালে কী হব।এখন তোমার মাং দেখাও।",1
মহান মুক্তিযুদ্ধকে রাজনৈতিক হাতিয়ারে পরিণত করা হয়েছে।,4
ডিজিটাল যুগ এসবের খাওয়া নেই,2
সব না‌স্তিক গু‌লো মান‌সিক রোগী,3
অসাধারণ লাগছে তোমাকে।এত সুন্দর তোমার ফিগার!তোমার জামাই এন্ড বিএফ খুব লাকি!!,0
দেহের ব্যাবসা,1
বােলা লােগ,0
আপনার ঠোঁট  দুওটো ললিপপের মত।,0
নবী ধর্ম এসব সত্য হতে পারে না।,3
আলহামদুলিল্লাহ,0
"রমজানের সময় হিজাব পড়তেছিস, আর এতদিন কাপড় ছাড়া চলছিস, আগে ফন্নি আছিলি কাপড় কেনার টাকা পাস নাই ৷",2
যৌন রোগের স্থায়ী ইউনানী হারবাল চিকিৎসা,1
ঠাসা মাল। গুদ দুদ সবকিছু একবারে চাপা চাপা।।।  ভিতরে হোল ঢুকা দিলে মাথার চাদি পরজোনতো হট হইয়া যাইবে।মালের দুধ গুলা সেই রকম জিনিস,1
ইহুদী মার,3
মুক্তিযুদ্ধের স্বপ্ন পুরণে কাজ করে যাচ্ছে ছাত্রশিবির শিবির সেক্রেটারী,4
আমাদের বাংলাদেশে কিছু কিছু আলতু ফালতু পোলাপান আছে যাদের জন্য এই রেন্ডিয়ারা এত সাহস পায়। এত বাড় বারে। এদের জন্যই ওরা বাংলাদেশকে অপামান করে,2
যাদের পুরো ধর্মটাই হচ্ছে কুসংস্কারে ভরা  তারাই আসে আমাদের ধর্ম  নিয়ে কথা বলতে|লজ্জা শরম যদি একটু থাকতো!অবশ্য এদের ধর্মই বেহায়াপনা লজ্জাহীনতা শিক্ষা দেয়|গরুর মুত খাইতে খাইতে এদের মাথার তার সব গেছে ছিড়া.,3
আপু  তমি এখটা গন শুনও  ওকে,0
তুই হাল্কা হেগে সুইয়ে পড়। :/,1
যা আমাদের বার বার পিছিয়ে দিচ্ছে। কিন্তু কাঙ্খিত বাংলাদেশ গড়তে না পারলে বিজয়ের পূর্ণতা আসবে না।,4
"বাংলাদেশ ইসলামী ছাত্রশিবিরের কেন্দ্রীয় সভাপতি আতিকুর রহমান বলেছেন, অনৈক্য ও বিভক্ত জাতির জন্য অভিশাপ।",4
আমি যা দেখি,2
আরও একটু খেলামেলা,2
কি করতে মনচাই,1
বিজয়ের মান অক্ষুন্ন রাখতে আমরা দৃঢ় প্রতিজ্ঞ ছাত্রশিবির,4
"মুলা মারো না , চরাইয়া দাত হালাই দিমু কইলাম,মোর টাহায়  কই কামরায়ে ,যে স্রাধ করতে যাব",1
মিতা ০১৭৬৩৩০২১০৫,2
"সমসাময়িক বিষয় সহ প্রতিটি ক্ষেত্রে দক্ষতা বাড়াতে হবে। নিজেদেরকে যুগোপযুগি করে গড়ে তুলতে হবে।"",",4
মাল,1
আপু তোমর মোবাইল নং টা আমাকে দিবে আমি তোমার সাতে কথা বলতে চাই আমি সোদি আরবে থাকি,2
হে পশ্চাৎপদ মোল্লা মৌলভী তোরা কবে হবি বিজ্ঞানমুখী,3
এইতো ভদ্র মেয়ে আসাধারন লাগছে,0
বরং দেশ থেকে ইসলাম ও ইসলামী আন্দোলনকে নির্মূল করতে সর্বগ্রাসী অপতৎপরতা চালিয়ে যাচ্ছে।,4
"_মাগি,, ±97430453042",1
ভদ্রা মহুদয় কে ফ্রি তে আর একটু বেশি গরুর মুত খাউর পরামর্শ দিএন।,3
জন্মদিনে আবার মানুষের সামনে জন্মদিনের পোশাকে হাজির হইয়ো না!,2
"শিবির সভাপতি বলেন, আদর্শহীন নেতৃত্বের কুফল জাতি হারে হারে টের পাচ্ছে।",4
আপু মন খারাপ কেনো যার কারনে মন খারাপ তাকে খমা করেদেন  বাধন আপু,0
ইস্ তোমাকে খুব জটিল লাগছে,0
হিন্দু আচোদা ধর্মের বোকাচোদা নীতি,3
মালাউন এর বাচ্চারা অধিকাংশই ধ্বজভঙ্গ হয়এরা নিজের স্ত্রী দের খুশি রাখতে পারেনাদেখেন না এজন্য হিন্দু বিবাহিত বউ দি গুলাও  কিভাবে আকর্ষন পেতে চলাফেরা করে,3
শুভ সকাল ববি তোমার হট গান আমার খুব ভাললাগে,1
স্বামী বিদেশ থাকে কিংবা সেক্স করতে অক্ষম? অথবা প্রেমিকের সঙ্গে ব্রেক আপ হয়ে গেছে? অথবা আপনি সেক্স করতে চান কিন্তু প্রেমিক কেউ নেই? অন্য কারো সঙ্গে সেক্স করতে চান না? তাহলে আপনার জন্য ডিলডো। সে সব মহিলার সঙ্গী নেই। তারা ব্যবহার করতে পারেন বিশ্ববিখ্যাত স্পেনসার কোম্পানির প্রস্ততকৃত ডিলডো। আমাদের কাছে চার থেকে ১০ ইঞ্চি সাইজের ডিলডো রয়েছে। শুধু আমাদের ইনবক্স করুন,1
"বাংলাদেশ ইসলামী ছাত্রশিবিরের কেন্দ্রীয় সভাপতি আতিকুর রহমান বলেন, জনগণের অধিকার প্রতিষ্ঠা ও রক্ষার জন্য প্রয়োজন আদর্শিক নেতৃত্ব কায়েমের মাধ্যমে দেশকে সমৃদ্ধির দিকে এগিয়ে নেয়া।",4
সু হট............,1
সমৃদ্ধ বাংলাদেশ গঠনে ছাত্রশিবিরকে অগ্রণী ভূমিকা পালন করতে হবে-শিবির সভাপতি,4
"আহ্হা , সমস্যাটা হল ঐ মেয়ে গুলা নেতাজির মেজাজের ধারধারে না । তাই জন্য মালগুলা মালই থেকে যায় ।",1
নাঈলা নাঈম না কিছুদিন আগে সুইসাইড করছিল????,2
যতই দেখচ্ছি আরো ভালো লেগে যাচ্ছে....চোখের কাজল দেওয়াতে অনেক মিষ্টি লাগচ্ছে,0
একটু বেশি বাকা হয়েগেছে.....,2
সমাজের প্রতি দায়িত্ববোধ থেকেই ছাত্রশিবির প্রতিবছরের ন্যায় এবারও সপ্তাহ ব্যাপি শীতবস্ত্র বিতরণ কর্মসূচি ঘোষনা করেছে।,4
তোমার দুধে গোরা বড় কেন*কয়টা ছেলে চিপি দিয়েছে,1
বেহেশতে ৭২ হুরের সেক্সি বর্ণনা ওয়াজ মাহফিলে শুনতে শুনতে মনে হলো ইস্লামে এতো সেক্স কেন।,3
"চোখ ফেরানো যায়না,,,,",0
বাংলাদেশ ইসলামী ছাত্রশিবির প্রতিবছরের ন্যায় এবছরও অসহায় শীতার্ত মানুষের পাশে দাঁড়ানোর উদ্যোগ নিয়েছে।,4
"আমি একজন ভারতীয় বাঙালি,আনন্দবাজার পত্রিকায় খবরটা পড়ে আপনার উপর যথেষ্ট  হতাশ হয়েছিলাম,কারন আপনাকে আমি খুব শ্রদ্ধা করি তাই আপনার কাছ থেকে এরকম নোংরা মন্তব্য আশা করিনি। তবে আপনার কাছ থেকে আসল সত্যটা শুনে খুশি হলাম....।।।।।",0
সুন্দর,0
"রন্দ্রি আর আমি একই ব্যাচে পড়ি , যদিও ওর",2
মাগি,1
আপু আপনার মামোনির আর ও ছবি দেন,0
প্রতি বছর দেশের মোট জনসংখ্যার একটি বিশাল অংশ শীতে নিদারুন কষ্ট ভোগ করে। যদিও জনগণের কষ্ট লাঘবের দায়িত্ব সরকারের।,4
পরি আমি তোমাকে ভালবাসি  রাজি থাকলে আমাকে জানাও,0
দৈনন্দিন কর্ম পরিবেশে ছন্দপতনের কারণে খেটে খাওয়া মানুষের কাজের সুযোগ ও সক্ষমতা কমে আসে। শীত নিবারণের সামান্য কাপড় ও দূর্যোগকালে খাবারের অভাবে কষ্ট পায় অসংখ্য মানুষ।,4
অসাদারন লাগের।,0
সাকিব ভাই চালাইয়া জাও,0
তুই গাজা খা গিয়া। ব্যাট বল কোনোটিই তো পারিস না।,2
তিনি আজ রাজধানীর এক মিলয়ানতনে ছাত্রশিবির ঢাকা মহানগরী উত্তর শাখা আয়োজিত অসহায় মানুষের মাঝে শীতবস্ত্র বিতরণ অনুষ্ঠানে প্রধান অতিথির বক্তব্যে এসব কথা বলেন।,4
পরী না,2
নাস্তিক জাফর ইকবাল সিলেট ছাড়,3
"মুক্তিযোদ্ধাদের সকল স্বপ্ন আজকের তরুণ সমাজকে ঘিরে। তাই মুক্তিযোদ্ধাদের স্বপ্ন বাস্তবায়নে আজকের তরুণ সমাজকেই মূল ভূমিকা পালন করতে হবে।"",",4
ঠিক আছে ভাল,0
আপনারে আপনার আব্বায় বিয়া দেয় না কেন ......????,2
যা কখনোই কারো কাম্য ছিল না। বিভেদের এ হীণ রাজনীতি শুধুমাত্র দেশকে পিছিয়ে দিচ্ছে না ধ্বংস করছে আগামীর অযুথ সম্ভাবনাকে।,4
এ ঘৃণ্য কাজটি তারা শুধু আমজনতার মাঝেই করেনি বরং জাতির শ্রেষ্ঠ সন্তান বীর মুক্তিযোদ্ধাদের মাঝেও সে বিভক্তির দেয়াল এঁকে দিয়েছে।,4
তোৱাও তো একদিন মালু ছিলি,3
অন্যদিকে চতুুরতার সাথে জাতির মাঝে বিভক্তির দেয়াল তৈরি করে দিয়েছে।,4
রিফাত শাহরিয়ার,2
তুমি কে গো?  আর আমরা তোমায় দেখি না তুমি আমাদের চোখের সামনে এসে দাড়ায় তাকো।,2
মন চাইতাছে দুধ দুইটা কামরাইয়া ধরি ???? ????,1
আই লাভ ইউ বাধন আপু,0
অথচ স্বাধীনতার মূল স্বপ্নই ছিল সমান অধিকারের ভিত্তিতে শান্তিপূর্ণ গণতান্ত্রিক বাংলাদেশ।,4
হিন্দু কেন মুসলমান বিচারপতি  কি দেশে নাই?ব্যাপারটা আসলে দুঃখজনক শুনে খুব খারাপ লাগল মুসলিম দেশে হিন্দু বিচারপতি,3
কাল থেকে পাওয়া যাবে?,0
তোমাকেআজ খুব সুন্দর লাগছে,0
"দেশের মোল্লারা এখন কোথায় এসব মেয়েদের কেটে ফেলতে পারেনা, খানকি মাগি কোথাকার",2
এভাবে তোমাকে ভাল লাগে না,2
পৌত্তলিক গরুচেতনা'র সেকুলার চুলকানি বহু পুরনো,3
পাতলা কাপুডে তুমাকে ভালো লাগে,2
@[1068074443244937:22:],0
হাসিটা অনেক মিষ্টি,0
আমি তোমার তলপেটের প্রেমে পড়েছি...,2
মালাউনের দালালী আর বেশি দিন নাই । মান্দুরা এই মহাদেশে বেশিদিন আর তাবেদারি চলবে না ।,3
গাছটার কত্ত সোভাগ্য!!!,2
তাহা হলে মালুর জাত গরুর জন্য মানুষ মার কেন?,3
অসহায়দের সরকার যেমন অবহেলা করে তেমনি বেশির ভাগ বিত্তশালীরাও এড়িয়ে চলে।,4
গানের কথায় কুত্তা পানিতে পরল????????,2
আর জনসংখ্যার বিশাল একটি অংশ বরাবরই দরিদ্র থেকে যাচ্ছে।,4
"শিবির সেক্রেটারী জেনারেল বলেন, বাংলাদেশ একটি মুসলীম প্রধান বিপুল সম্পদের অধিকারী একটি দেশ।",4
এই প্রথম মনে হয় সুন্দর আর শালীন কোন পিক দেখলাম।,0
তুর ধনটাও কর,1
এখনো  মরো  নাই  ????,2
আল্লাহ আমাদের হেদায়াত দান করো। বুঝার তৌফিক দাও আসল মঈল কোথায়,0
ঘোমটার নিচে খেমটা নাচ??,2
[[179379108907488]],0
+880 1776-009470,2
আমাদের দেশের পুলিশ শান্তিতে নোবেল পুরস্কার লাভ করবে। কারন আমেরিকান সেনাবাহিনী গত ১৫ বছরে ইরাক থেকে জঙ্গী নির্মুল করতে পারেনি অথচ বাংলাদেশের পুলিশ মাত্র ২ দিনেই ৩০০০+ জঙ্গী বাবাদের আটক করে বিশ্ব বাসীকে তাক লাগিয়ে দিয়েছে।,0
মাশা আল্লাহ জাযাকাল্লাহ,0
কুকুর ঠিক মানুষটিকেই চিনেছে,2
ইহুদীদের এত কুটচাল করে কি ফায়দা হবে ?  কাফের দাজ্জালের পথ পরিস্কার করার জন্যই কি এত ব্যবস্থা ?  ইহুদীরা কেন ভুলে যায়?  ইং শা আল্লাহ  কাফের দাজ্জাল আসার আগেই ইমাম মাহদী [আঃ] সমস্ত খ্রিষ্টান জগতকে মুসলমানদের পায়ের নিচে নিয়ে আসবে ।  আলহামদুলিল্লাহ  খ্রিষ্টানদের রাজ্য শাষনের স্বাদ চিরতরে মিটে যাবে।এই কথা সহীহ হাদীসে স্পষ্ট বর্নিত আছে।,3
তোমার এই ছবিতে আমার চুমু ...,2
সুতরাং নতুন বছরে নতুন উদ্যামে ঈমানের শক্তিতে বলিয়ান হয়ে এগিয়ে যেতে হবে।,4
হিন্দু মালাউন বিচারপতির জিব্বা ছিড়ে ফেলা হবে যদি ইসলাম বিরোদি রায় হয়,3
পরি তোমার ফিগার আমার মন কেরেছে,2
মনোমুগ্ধকর!!,0
এরকম ছবি তুলে গুনাহগার হওয়ার চাইতে হিজাব পড়ে ছবি তুলবেন যদি মুসলমান হয়ে থাকেন।,0
এর চেয়ে ভালো কিছো আশা করা যায়না,2
খুব মায়াবী চোখে তাকিয়ে আছ তুমি বন্ধু,0
"যত বাধাই আসুক না কেন, ছাত্রশিবির তার লক্ষ্য থেকে পিছু হটবেনা।",4
শুনলাম কৃষ্ণ নাকি তার মামির সাথে প্রেম করেছিলোএ কেমন চরিত্র,3
এক মিনিট সময় নিয়ে আমার পেজে ঘুরে আসুন,0
মাহি তোমার মিল্কতো অনেক নরম হয়ে গেছে,1
তুই  হিন্দু  নামের  কলঙ্ক  সালা,3
কিন্তু ছাত্রশিবিরের এই ত্যাগ বৃথা যায়নি।,4
বাল চিন তোমাদের ছবি আমার কাছে ভাললাগে না।,1
"কিতা রবও তোমার লগে বিয়ার কাবিন নামাত কিতা স্বাক্ষর কররানি,আমরারে দেখি দাওয়াত করলায় না।",2
অব্যশই ফাসি।,3
"শিবির সভাপতি বলেন, জাতির এক ঐতিহাসিক প্রয়োজনে ছাত্রশিবিরের পথ চলা শুরু হয়েছিল।",4
লাল শারিতে যা লাগছেনা ---- পুরাই  মাখন,0
একখান চুমো দিয়ে যা,2
আমেরিকান প্রেসিডেন্ট বারাক ওবামা আশা প্রকাশ করেছেন ২০১৮ সালের মধ্যেই মার্কিন প্রসাসনে বাংলাদেশী পুলিশ নিয়োগ দেওয়া হবে। এদিকে জার্মান চ্যান্চেলার এঙ্গেলা মারকেল বাংলাদেশ থেকে পুলিশ আমদানি করবে বলে ইতি মধ্যেই সিদ্ধান্ত নিয়েছে।,0
উত্তর বঙ্গের এক প্রত্যন্ত গ্রামের ভাগী চাষী তাজল শেখের উপরে রহস্যময় দেব মূর্তির প্রভাব আর সেই সংক্রান্ত গা শিরশিরে সব ঘটনা জানতে চান??,0
বেস‍্যার দল হিন্দুত্বতা,3
ভাব নিছে লিলা...লাগতেছে খানকির মত। :p,1
পাগলা কুত্তা দিয়া এই বেস্যারে চুদানো উচিৎ,1
লাইক দিলুম মন খারাপ করে,0
শালা চুচিলরা আর মালু দাদারা আজ স্বাদিনতা চেতনার সোল এজেন্ট।,3
মারজান নিহত হওয়ার পর দায়িত্বশীল কোন গণমাধ্যম তার সাথে ছাত্রশিবিরের সম্পৃক্ততা প্রমাণ করে খবর প্রকাশ করেনি।,4
সেই রকম লাগছে,0
"অনেক কিছুই বলার আছে ,কিন্তু আজ কিছুই বলবো না।",0
ধংশ হোক তারা যারা রমযান মাসে রোযাদারদের গ্রেপতার ও কস্ট দিছছে,3
ভাব ধরছে :),2
"খানকির পোলা জোরে দে,,,,,,,,,,,,,,",1
যারা আমাদের নবিকে নিয়ে এ ধরনের কথা লেখে ওদের কে ফাসিতে ঝুিলয়ে ককুর দিয়ে খাওয়ানো উচিত।,3
খাঙ্কি কাল থেকে আর জামা পরবি না তাহলে বাকি সরির সবাই দেখতে পারবে,1
এই কুত্তার সমস্ত অঙ্গ পতঙ্গগুলিকে একটা একটা করে কেটে কেটে টুকরা টুকরা করে  পানিতে ভাসিয়ে দিতে হবে।,3
অথচ কল্যাণপুরে জঙ্গি আস্তানার বাড়ীর মালিক আফতাব উদ্দিন আহমেদ আ.লীগ নেতা এবং তিনি ঢাকা সিটি কর্পোরেশন দক্ষিনের ৮ নম্বর ওয়ার্ড আওয়ামীলীগের সাধারণ সম্পাদক।,4
পাটাপাটি,2
সকল নাস্তীকদের ফাসি চাই।,3
কল্যাণপুরের ঘটনার সাথে নাম পরিচয়হীন ব্যক্তি ও মুদি দোকানদারের ধারণাকে পুঁজি করে ছাত্রশিবিরকে জড়ানো হয়েছিল।,4
চোদার মনি,1
যা সম্পূর্ণ মিথ্যাচার। সে শিবির নেতা দূরে থাক সমর্থকও ছিলনা।,4
শত শত আলেমের রক্তে রঞ্জিত যে আওয়ামী লীগের হাত  তারা হয়ে গেছে এখন ইসলামের জিম্মাদার !,3
প্রতিবেদনে নির্দিষ্ট নাম পরিচয় উল্লেখ না করে কাল্পনিক চবি কর্তৃপক্ষের বরাত দিয়ে বলা হয়েছে মারজান বিশ্ববিদ্যালয়ে থাকতে শিবিরের রাজনীতির সাথে জড়ান এবং সর্বোচ্চ সাথী পদে পৌছে যান।,4
আমি এইডা কি দেখলুম!!!!!????,2
এত শীতেও এই ? তাইলে গরমে....,2
খানকিরা এইসব করে,1
এই কুলাঙ্গারের ফাঁসি চাই ।,3
গরীব শিশুদের মাঝে শীতবস্ত্র বিতরণ করে ছাত্রশিবির ফেঞ্চুগঞ্জ উপজেলা,4
তিনি ছাত্রশিবিরের এই আদর্শিক পথ চলায় ছাত্র-জনতাকে সহযোগীর ভূমিকা পালন করার উদাত্ত আহবান জানান।,4
লুইছছা ধর্ষক বাতপার নবীর উম্মতদের সাথে বিধর্মী থাকতে পারবে না।,3
তুমার সাথে আমাকে নিয়া যাউ,0
আজ দেখবো যে কেমন চুয়ানচৌ আছে,1
দেখো নামধারী মুসলিমদের চরিত্র।এজন্যই রাস্তাঘাটে মুসলিমরা কাফেরদের মার খায়,3
এভাবে চলাতে থাকলে অচিরেই এদেশ ব্যর্থ রাষ্ট্রে পরিণত হবে।,4
হিন্দু বৌদ্ধ এক সাথে বসবাসে সমস্যা নেই হিন্দু  খিষ্টান শিখ ইহুদি এক সাথে বসবাস সমস্যা নেই সমস্যা মুসলিমদের সাথে অন্য কারে বসবাসে এদের ধর্মও এরা কত যপ যে ভাল তা বিশ্ব মুসলিম রাষ্টগুলো তাকান অথবা নাস্তিকদের পোষ্ট পড়ুন,3
"শালা এইটা বিয়ার কনের ড্রেস, করমুই না বিয়া যা...",2
হাই ছেকছি,1
"অন্যদিকে ক্যাম্পাসগুলোতে ছাত্রলীগের তান্ডব, মাদক, চাঁদাবাজী, টেন্ডারবাজী ও ভিন্ন মতের ছাত্রদেরকে বিতাড়ণ অব্যাহত আছে।",4
তাই নাকি,0
সত্যের সন্ধানে সংবাদ ৷,0
তুমি ভাল থেক,0
সকল ষড়যন্ত্রের জাল ছিন্ন করে জাতির প্রত্যাশা পূরণে ছাত্রশিবির তার ঐতিহাসিক ভূমিকা পালন করে যাবে।,4
এই রকম মেয়ে গুলা দেশের অভীশাপ কারন,2
তুমি যেনো একটু বেশী সুন্দর !,0
হে দয়াময় আল্লাহ বিশ্বের সকল মুসলমানকে এক হওয়ার তাওফিক দান কর হে প্রভূ আমাদের সকল সৎ ও সাহসী ভাইদেরকে তোমার দ্বীনের বানী আমাদেরকে জানানোর তাওফিক দাও আমিন আমিন আমিন,0
প্রথম দেখেছিলাম একটি বিদেশি নাটকে ! মায়াবি  !!!,0
ভাঁজ বের কর‌ে না রাখল‌ে শান্ত‌ি পাওয়া যায় না তাই না!!!,2
"রোমান্টিক গল্প, ভালোবাসার গল্প, শিক্ষানীয় গল্প পড়তে এই পেইজে লাইক দেন,",0
অনেক অনেক শুভ কামনা রইলো তোমার জন্য আপু,0
সনাতন একটি পোদা ধরম যেখানে পূরোহীত নারী এবং শিশূ ধরষন করে শয়তানের মেলা,3
খুব জোস,0
দোধ গোলা এত বড় কেন,1
দুধের সাইজ ত দারুণ!,1
হিন্দুরা তোদের অনেক বার বেরে গেছে।তোদের বোজা উচিত ইন্ডিয়ায় যেখানে মুসলমানরা শান্তিতে নিঃশ্বাস নিতে পারে না।তার বিপরীতে বাংলাদেশে তোরা কত ভালো আছ।বেশি বুজিস না।ভালো হবে না।চুপচাপ চোরের মত থাক।নইলে!,3
এ দীর্ঘ পথ চলার প্রতিটি বাকে বাকে ছাত্রশিবিরের নেতাকর্মীদেরকে সিমাহীন ত্যাগ স্বীকার করতে হয়েছে।,4
হেভি লাগছে,0
আমরা কুতা লিগকে ঘৃনা করি,3
মালাউনের পক্ষে নিয়ে যত কথাই বলিকমুসলমান দেশে কোন লাভ হবে না।ইনশাল্লাহ,3
আগামী দিনেও শিবির সমৃদ্ধ বাংলাদেশ গড়ার প্রত্যয় নিয়ে সামনে এগিয়ে যাবে।,4
আগের থেকে লাইক কমে গেছে................... হি হি,2
আমার গুদ,1
কিউটের ডিব্বা!!! ????????????,0
সুতরাং এতেই প্রমানিত হয় যে হিন্দুদের পিতৃ পরিচয় বলে কিছু নেই। মানে হিন্দুরা জারজ। যদি হিন্দুদের পিতৃ পরিচয় থাকত তাহলে পিতার নাম ব্যবহারকে সমর্থন করত।,3
"ছেন করবি,,মাঘীর বাচ্ছা দেশ নষ্ট করচস তোরা!আবার মিঠাই লাগাছ!!",1
হাসিটা দারুণ,0
হিন্দু  দের যেমন মন্দির  মুসলিম  দের তেমন  মসজিদ  তাই  মন্দির  ভাঙা টা   উচিত হয় নি মুসলিম  দের মসজিদ  পবিত্র  তেমন  হিন্দু  দেরও মন্দির  পবিত্র,3
মেয়েদের ভোদা ছেলেদের হোল চোদো অনরগল,1
তুই হইলি #ময়লা_নাঈম :P :P,2
[[179379108907488]],0
নাস্তিকরা চাই নারীর অধিকারের নামে ঘর থেকে বাহির করে তাদের ইজ্জতসম্মান ও সম্ভ্রম চেটেপুটে খেয়ে ধ্বংস করে দিতে,3
বাদন তোমার কি মন খারাব?,0
সকল মুসলিমরাও কোন এক সময়ে শুকরের মাংস খেতো।১৪০০ এর পুর্বে সকল মুসলিমই শুকর খেতো।,3
মাগী,1
মাশাল্লাহ. তোমাকে নয়.সকল প্রসংশা তার জন্য.যিনি তোমাকে এত মেধা দিয়েছন.জাযাকাল্লাহ ভাই,0
দেখো।বিডা।দুধে।মুখ।দেবে,1
"বেশ্যা ও এত খারাপ হয় না,,,,, তাদের ও লজ্জা থাকে,,, :)",1
আপা সবই সুন্দর তবে ঠীকে তাইক বোন,0
অস্তির,2
সে মুসলমানের ওপর ধিক্কার যে মুসলমান তার মেয়েকে/ তার বোনকে/ তার কোন মহিলা আত্নীয়কে  যাদের ওপর তার কর্তব্য আছে অন্যের সামনে প্রদর্শন করতে দেয়।,0
"তোর মাথা রে,,,,  ৪২০ :)",0
শান্তি! সেতো ইসলামে,0
জামা কাপড় পরা লাগতেসে,0
একটু কাম বানাবো,1
যার কোন কিতাব নেই  সেটি আবার কিসের ধম* হিন্দু মন গড়া ধম*,3
"থাকব কিভাবে বেশরম,বেহায়া,বেশ্যা হলে",1
নাইছ,0
"আমরা দৃঢ় ভাবে বলতে চাই, কোন অপপ্রচারের কাছে ছাত্রশিবির মাথা নত করবে না একই সাথে আমাদের পথচলাও থেমে যাবে না।",4
তোমাকে ভাল লেগেছে,0
মেধা ও সততা আল্লাহর দান। এই অমূল্য নে‘মত যিনি পেয়েছেন,0
একটা শব্দ --->>    দারুন।।।,0
"শীত বস্ত্রের বড়ই অভাব, এই কে আছিস ওনাকে শীত বস্ত্র দান কর...",2
"তিনি আরও বলেন, ছাত্রশিবির মেধাবী ও সৎ নেতৃত্বের প্রতিচ্ছবি।",4
তুই নিজেইতো একটা মালু।তুই আবার কাকে মোনাফেক বলছিস?মালাউনফেক আইডিতে না লিখে আসল আইডি ব্যবহার কর।,3
বাংলার সানি লিওনি.....!!!,1
মিডিয়া এখন নাস্তিক বাদী  নাস্তিক নাস্তিকদের দালাল।,3
ওই  মাগীরে  সাথে  নিছো  কেন  বাধন  আপু,1
কিন্তু এই অপপ্রচার ও কুৎসা রটনা জনগণের কাছে কখনোই বিশ্বাস যোগ্যতা পায়নি।,4
সানি লেয়ান ২,1
প্রধানমন্ত্রী থেকে শুরু করে মন্ত্রী এমপি কিছু গণমাধ্যম ও সুশিল সমাজের পরিচয় দানকারী ব্যক্তিরা সুপরিকল্পিত ভাবে তথ্য সন্ত্রাস চালিয়েই যাচ্ছে।,4
বাংলাদেশে পাঁচবারের বিশ্বকাপ জয়ী ব্রাজিল ফুটবল দলের অন্যতম পেজ হচ্ছে-,0
মাইরালা...! :3 :-P B-),2
এটাই যদি সুখ মনে করেন তাহলে আপনি কোন সুখের জন্য বিকিনি পরতে চান??,2
বরং শিবিরের গঠনমূলক পথ চলার প্রতিটি বাকে আদর্শহীনরা প্রতিকূলতা সৃষ্টি করে করেছে।,4
এই আদর্শীক পথ চলাকে বাতিল শক্তি সব সময়ই বাকা চোখে দেখেছে।,4
আচ্ছা লায়লা বলবে কি তুমি এতো নাইচ কেন?,0
ভাই মনদির কয়টা ভাঙ্গা পরছে,3
আচ্ছা বলেন আপনি কই আমি কতো খুঁজি কিন্তু আপনার দেখা পাই না আমার কিন্তু দারোয়ানের কাজ চাই আপনি কি আমাকে চিনতে পারেননি মেডাম,0
বলুন মোল্লাদের ধরে বলি দেওয়া হোক ।,3
বেফুক লাগছে,0
নিলজ্জ হিন্দু,3
বাংলার মাটিতে থেকে মুসলমানদের ধর্ম নিয়ে অপর প্রচার বন্ধ কর মালাউন।না হয় কিন্তু ব্লগারদের মতো অবস্তা হবে।,3
